ClassName,RegionSeriesName,RegionType,Source,SourceType,IxName,key
HousePriceIx,"Champaign-Urbana, IL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),61
HousePriceIx,"Charleston, WV",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),62
HousePriceIx,"Charleston-North Charleston-Summerville, SC",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),63
HousePriceIx,"Charlotte-Gastonia-Rock Hill, NC-SC",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),64
HousePriceIx,"Charlottesville, VA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),65
HousePriceIx,"Chattanooga, TN-GA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),66
HousePriceIx,"Cheyenne, WY",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),67
HousePriceIx,"Chicago-Joliet-Naperville, IL  (MSAD)",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),68
HousePriceIx,"Chico, CA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),69
HousePriceIx,"Cincinnati-Middletown, OH-KY-IN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),70
HousePriceIx,"Clarksville, TN-KY",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),71
HousePriceIx,"Cleveland, TN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),72
HousePriceIx,"Cleveland-Elyria-Mentor, OH",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),73
HousePriceIx,"Coeur d'Alene, ID",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),74
HousePriceIx,"College Station-Bryan, TX",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),75
HousePriceIx,"Colorado Springs, CO",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),76
HousePriceIx,"Columbia, MO",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),77
HousePriceIx,"Columbia, SC",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),78
HousePriceIx,"Columbus, GA-AL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),79
HousePriceIx,"Columbus, IN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),80
HousePriceIx,"Columbus, OH",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),81
HousePriceIx,"Corpus Christi, TX",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),82
HousePriceIx,"Corvallis, OR",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),83
HousePriceIx,"Crestview-Fort Walton Beach-Destin, FL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),84
HousePriceIx,"Cumberland, MD-WV",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),85
HousePriceIx,"Dallas-Plano-Irving, TX  (MSAD)",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),86
HousePriceIx,"Dalton, GA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),87
HousePriceIx,"Danville, IL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),88
HousePriceIx,"Danville, VA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),89
HousePriceIx,"Davenport-Moline-Rock Island, IA-IL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),90
HousePriceIx,"Dayton, OH",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),91
HousePriceIx,"Decatur, AL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),92
HousePriceIx,"Decatur, IL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),93
HousePriceIx,"Deltona-Daytona Beach-Ormond Beach, FL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),94
HousePriceIx,"Denver-Aurora-Broomfield, CO",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),95
HousePriceIx,"Des Moines-West Des Moines, IA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),96
HousePriceIx,"Detroit-Livonia-Dearborn, MI  (MSAD)",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),97
HousePriceIx,"Dothan, AL",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),98
HousePriceIx,"Dover, DE",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),99
HousePriceIx,"Dubuque, IA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),100
HousePriceIx,"Duluth, MN-WI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),101
HousePriceIx,"Durham-Chapel Hill, NC",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),102
HousePriceIx,"Eau Claire, WI",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),103
HousePriceIx,"Edison-New Brunswick, NJ  (MSAD)",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),104
HousePriceIx,"El Centro, CA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),105
HousePriceIx,"Elizabethtown, KY",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),106
HousePriceIx,"Elkhart-Goshen, IN",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),107
HousePriceIx,"Elmira, NY",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),108
HousePriceIx,"El Paso, TX",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),109
HousePriceIx,"Erie, PA",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),110
HousePriceIx,"Eugene-Springfield, OR",City,FHFA,Govt,All-Transactions HPI by MSA (NSA),111
